id,medium,url,headline,kicker,teaser,llm_topic
130,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/freibad-schwimmbad-randale-101.html,Angstmache am Beckenrand,Freibäder in Berlin,"Glaubt man Berichten im Netz und in einigen Medien, kann man Freibäder in Berlin kaum noch betreten. Die AfD veröffentlichte nun ein Video über ein angebliches ""Chaosbad"". Betreiber und Polizei widersprechen.",Kriminalität in Schwimmbädern
366,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/oesterreich-alternative-medien-101.html,"""Völkische Entwicklungshilfe"" aus Österreich",Sender AUF1,Der österreichische rechtsalternative Sender AUF1 verbreitet zum Teil rechtsextreme und verschwörungsideologische Inhalte. Deutschland rückt dabei immer mehr in den Fokus der Berichterstattung.,Rechtsextremismus
476,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/russland-afrika-desinformation-100.html,Russlands Strategie für Afrika,Desinformation,"In mehreren afrikanischen Ländern versucht Russland, seinen Einfluss auszuweiten - in politisch fragilen Staaten durchaus mit Erfolg, sagen Experten. Eine wichtige Rolle dabei spielt die Wagner-Gruppe.",Russland-Afrika
464,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/wahl-russland-desinformation-100.html,Der Schein einer Wahl,Russland,Bei ausländischen Wahlen spielt Desinformation aus Russland oft eine Rolle. Für die nun anstehende Abstimmung im eigenen Land gibt es laut Experten aber keine Kampagne. Das liegt vor allem am System von Präsident Putin.,Russische Präsidentschaftswahl
461,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/russland-sanktionen-eu-114.html,Die Sanktionen wirken - und nutzen dennoch wenig,Russland,Vor mehr als zwei Jahren verhängte die EU ihr erstes großes Sanktionspaket gegen Russland nach dessen Invasion in die Ukraine - zwölf weitere folgten. Dennoch wächst die russische Wirtschaft weiter. Wie kommt das?,Russland-Sanktionen
475,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/suedafrika-desinformation-100.html,Deep Fakes und fremdenfeindliche Narrative,Wahl in Südafrika,"Manipulierte Videos, russische Einflussnahme und fremdenfeindliche Rhetorik erschüttern Südafrikas politische Landschaft vor den heutigen Wahlen. Mehrere Faktoren machen die Bevölkerung besonders anfällig für Desinformation.",Desinformation in Wahlen
435,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/sommerinterview-chrupalla-afd-100.html,Das ARD-Sommerinterview mit Chrupalla im Faktencheck,AfD-Vorsitzender,Im ARD-Sommerinterview hat AfD-Chef Chrupalla zum Teil mit falschen Zahlen argumentiert. Zudem ließen sich einige Forderungen rechtlich gar nicht umsetzen. Die Aussagen im Faktencheck.,Migration
445,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/michelle-obama-desinformation-fakes-100.html,Die Angst vor mächtigen Frauen,Trans- und Frauenfeindlichkeit,"Michelle Obama, Brigitte Macron oder auch Neuseelands Ex-Premierministerin Jacinda Ardern: Sie alle wurden Zielscheibe transfeindlicher Desinformation - weil sie mächtige Frauen sind.",Desinformation gegen Frauen
444,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/wahlmanipulation-europawahl-100.html,Wenig Einsprüche gegen Europawahl,Angebliche Wahlmanipulation,In rechtsextremen und verschwörungsideologischen Kreisen wurden zur Europawahl zahlreiche Belege für angebliche Wahlmanipulation verbreitet. Die offizielle Zahl der Einsprüche ist jedoch sehr gering.,Europawahl
425,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/merz-syrien-afghanistan-100.html,Falsche Aussage von Merz über Geflüchtete,Syrien und Afghanistan,"Auf einer Pressekonferenz hat CDU-Chef Merz behauptet, dass Deutschland in Relation zur Größe weltweit die meisten Geflüchteten aus Syrien und Afghanistan aufgenommen hat. Das stimmt aber nicht.",Geflüchtete
